"group","year","size","mean_grade","date","map","action"
"Bellatrix",1617,5,9.72,"09/11/2016 20:35:49",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:35:53",1,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:36:32",1,4
"Bellatrix",1617,5,9.72,"09/11/2016 20:36:45",1,5
"Bellatrix",1617,5,9.72,"09/11/2016 20:39:34",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:40:44",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:42:32",1,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:42:42",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:45:15",2,1
"Bellatrix",1617,5,9.72,"09/11/2016 20:45:20",2,2
"Bellatrix",1617,5,9.72,"09/11/2016 20:47:49",2,4
"Bellatrix",1617,5,9.72,"09/11/2016 20:48:33",2,3
"Bellatrix",1617,5,9.72,"10/11/2016 13:12:33",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 13:12:37",1,2
"Bellatrix",1617,5,9.72,"10/11/2016 13:14:29",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 13:17:14",1,2
"Bellatrix",1617,5,9.72,"10/11/2016 13:18:44",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 13:19:18",1,2
"Bellatrix",1617,5,9.72,"10/11/2016 13:19:51",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 13:23:01",1,2
"Bellatrix",1617,5,9.72,"10/11/2016 14:20:13",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 14:21:16",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:41:48",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:42:24",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:43:31",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:44:42",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:44:48",1,2
"Bellatrix",1617,5,9.72,"10/11/2016 15:46:34",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:47:45",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:50:40",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:51:04",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:52:04",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:54:58",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:55:01",1,2
"Bellatrix",1617,5,9.72,"10/11/2016 15:55:52",1,4
"Bellatrix",1617,5,9.72,"10/11/2016 15:56:11",1,5
"Bellatrix",1617,5,9.72,"10/11/2016 15:56:43",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 15:56:48",2,2
"Bellatrix",1617,5,9.72,"10/11/2016 15:58:03",2,4
"Bellatrix",1617,5,9.72,"10/11/2016 15:58:41",2,3
"Bellatrix",1617,5,9.72,"10/11/2016 16:01:32",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:01:44",2,2
"Bellatrix",1617,5,9.72,"10/11/2016 16:02:58",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:03:02",2,2
"Bellatrix",1617,5,9.72,"10/11/2016 16:03:47",2,4
"Bellatrix",1617,5,9.72,"10/11/2016 16:04:14",2,3
"Bellatrix",1617,5,9.72,"10/11/2016 16:06:05",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:10:40",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:14:32",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:15:44",1,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:16:51",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:29:37",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:29:52",3,2
"Bellatrix",1617,5,9.72,"10/11/2016 16:31:10",3,3
"Bellatrix",1617,5,9.72,"10/11/2016 16:32:03",3,4
"Bellatrix",1617,5,9.72,"10/11/2016 16:37:35",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:37:52",3,2
"Bellatrix",1617,5,9.72,"10/11/2016 16:38:44",3,3
"Bellatrix",1617,5,9.72,"10/11/2016 16:39:20",3,4
"Bellatrix",1617,5,9.72,"10/11/2016 16:46:58",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:47:58",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:49:40",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:56:17",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 16:56:24",3,2
"Bellatrix",1617,5,9.72,"10/11/2016 16:57:15",3,3
"Bellatrix",1617,5,9.72,"10/11/2016 16:57:56",3,4
"Bellatrix",1617,5,9.72,"10/11/2016 16:58:31",3,5
"Bellatrix",1617,5,9.72,"10/11/2016 17:00:59",4,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:01:05",4,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:02:15",4,3
"Bellatrix",1617,5,9.72,"10/11/2016 17:02:42",5,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:02:48",5,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:04:21",5,3
"Bellatrix",1617,5,9.72,"10/11/2016 17:09:45",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:09:52",2,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:10:28",2,4
"Bellatrix",1617,5,9.72,"10/11/2016 17:10:48",2,3
"Bellatrix",1617,5,9.72,"10/11/2016 17:18:02",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:18:16",2,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:18:54",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:20:12",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:22:08",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:22:16",2,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:27:18",2,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:27:27",2,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:28:40",2,4
"Bellatrix",1617,5,9.72,"10/11/2016 17:29:09",2,3
"Bellatrix",1617,5,9.72,"10/11/2016 17:31:37",3,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:31:51",4,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:31:56",4,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:33:34",4,3
"Bellatrix",1617,5,9.72,"10/11/2016 17:37:26",4,4
"Bellatrix",1617,5,9.72,"10/11/2016 17:37:56",4,5
"Bellatrix",1617,5,9.72,"10/11/2016 17:38:17",5,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:38:24",5,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:39:54",5,3
"Bellatrix",1617,5,9.72,"10/11/2016 17:42:02",5,4
"Bellatrix",1617,5,9.72,"10/11/2016 17:42:47",5,5
"Bellatrix",1617,5,9.72,"10/11/2016 17:43:08",6,1
"Bellatrix",1617,5,9.72,"10/11/2016 17:43:17",6,2
"Bellatrix",1617,5,9.72,"10/11/2016 17:44:37",6,3
"Bellatrix",1617,5,9.72,"10/11/2016 18:36:57",7,1
"Bellatrix",1617,5,9.72,"10/11/2016 18:37:16",7,2
"Bellatrix",1617,5,9.72,"10/11/2016 18:37:24",7,3
"Bellatrix",1617,5,9.72,"10/11/2016 18:43:08",7,4
"Bellatrix",1617,5,9.72,"10/11/2016 18:43:33",7,5
"Bellatrix",1617,5,9.72,"10/11/2016 18:44:00",8,1
"Bellatrix",1617,5,9.72,"10/11/2016 18:44:06",8,2
"Bellatrix",1617,5,9.72,"10/11/2016 18:45:16",8,3
"Bellatrix",1617,5,9.72,"10/11/2016 18:48:11",9,1
"Bellatrix",1617,5,9.72,"10/11/2016 18:48:15",9,2
"Bellatrix",1617,5,9.72,"10/11/2016 18:49:53",9,3
"Bellatrix",1617,5,9.72,"10/11/2016 18:51:18",9,4
"Bellatrix",1617,5,9.72,"10/11/2016 18:53:10",9,1
"Bellatrix",1617,5,9.72,"10/11/2016 18:53:27",9,2
"Bellatrix",1617,5,9.72,"10/11/2016 18:55:20",9,3
"Bellatrix",1617,5,9.72,"10/11/2016 19:11:36",9,1
