"group","year","size","mean_grade","date","map","action"
"Girtab",1617,6,4.67,"16/11/2016 17:29:02",1,1
"Girtab",1617,6,4.67,"16/11/2016 17:29:06",1,2
"Girtab",1617,6,4.67,"16/11/2016 17:29:33",1,4
"Girtab",1617,6,4.67,"16/11/2016 17:37:09",2,1
"Girtab",1617,6,4.67,"16/11/2016 17:37:43",1,1
"Girtab",1617,6,4.67,"16/11/2016 17:42:45",1,1
"Girtab",1617,6,4.67,"16/11/2016 17:42:46",1,2
"Girtab",1617,6,4.67,"16/11/2016 17:42:47",1,4
"Girtab",1617,6,4.67,"16/11/2016 17:46:53",2,1
"Girtab",1617,6,4.67,"16/11/2016 17:51:26",1,1
"Girtab",1617,6,4.67,"16/11/2016 18:26:28",1,1
"Girtab",1617,6,4.67,"16/11/2016 18:27:18",1,1
"Girtab",1617,6,4.67,"16/11/2016 18:27:20",1,2
"Girtab",1617,6,4.67,"16/11/2016 18:28:21",1,4
"Girtab",1617,6,4.67,"16/11/2016 18:34:03",1,1
"Girtab",1617,6,4.67,"16/11/2016 18:34:04",1,2
"Girtab",1617,6,4.67,"16/11/2016 18:34:20",1,4
"Girtab",1617,6,4.67,"16/11/2016 18:40:40",1,1
"Girtab",1617,6,4.67,"16/11/2016 18:40:40",1,2
"Girtab",1617,6,4.67,"16/11/2016 18:40:50",1,4
"Girtab",1617,6,4.67,"16/11/2016 18:41:39",1,1
"Girtab",1617,6,4.67,"16/11/2016 18:41:42",1,2
"Girtab",1617,6,4.67,"16/11/2016 18:42:33",1,4
"Girtab",1617,6,4.67,"16/11/2016 21:44:17",1,1
"Girtab",1617,6,4.67,"16/11/2016 21:50:25",1,1
"Girtab",1617,6,4.67,"16/11/2016 21:53:22",1,1
"Girtab",1617,6,4.67,"16/11/2016 21:57:13",1,1
"Girtab",1617,6,4.67,"16/11/2016 22:00:22",1,1
"Girtab",1617,6,4.67,"16/11/2016 22:01:29",1,1
"Girtab",1617,6,4.67,"16/11/2016 22:22:19",1,1
"Girtab",1617,6,4.67,"16/11/2016 22:24:49",1,1
"Girtab",1617,6,4.67,"17/11/2016 11:41:03",1,1
"Girtab",1617,6,4.67,"17/11/2016 11:41:05",1,2
"Girtab",1617,6,4.67,"17/11/2016 11:41:25",1,4
"Girtab",1617,6,4.67,"17/11/2016 11:45:04",1,1
"Girtab",1617,6,4.67,"17/11/2016 11:45:43",1,1
"Girtab",1617,6,4.67,"17/11/2016 11:45:44",1,2
"Girtab",1617,6,4.67,"17/11/2016 11:46:13",1,4
