"group","year","size","mean_grade","date","map","action"
"Achernar",1617,5,10,"14/11/2016 16:13:29",1,1
"Achernar",1617,5,10,"14/11/2016 16:13:29",1,2
"Achernar",1617,5,10,"14/11/2016 16:13:32",1,4
"Achernar",1617,5,10,"14/11/2016 16:13:33",1,5
"Achernar",1617,5,10,"14/11/2016 16:13:54",1,1
"Achernar",1617,5,10,"14/11/2016 16:13:55",1,2
"Achernar",1617,5,10,"14/11/2016 16:13:57",1,4
"Achernar",1617,5,10,"14/11/2016 16:13:57",1,5
"Achernar",1617,5,10,"14/11/2016 16:14:37",1,1
"Achernar",1617,5,10,"14/11/2016 16:14:37",1,2
"Achernar",1617,5,10,"14/11/2016 16:14:39",1,4
"Achernar",1617,5,10,"14/11/2016 16:14:40",1,5
"Achernar",1617,5,10,"14/11/2016 16:15:10",1,1
"Achernar",1617,5,10,"14/11/2016 16:15:10",1,2
"Achernar",1617,5,10,"14/11/2016 16:15:13",1,4
"Achernar",1617,5,10,"14/11/2016 16:15:14",1,5
"Achernar",1617,5,10,"14/11/2016 16:34:10",1,1
"Achernar",1617,5,10,"14/11/2016 16:34:10",1,2
"Achernar",1617,5,10,"14/11/2016 16:34:12",1,4
"Achernar",1617,5,10,"14/11/2016 16:34:13",1,5
"Achernar",1617,5,10,"14/11/2016 16:34:34",3,1
"Achernar",1617,5,10,"14/11/2016 16:34:34",3,2
"Achernar",1617,5,10,"14/11/2016 16:34:37",3,3
"Achernar",1617,5,10,"14/11/2016 16:34:39",3,4
"Achernar",1617,5,10,"14/11/2016 16:34:40",3,5
"Achernar",1617,5,10,"14/11/2016 16:35:30",5,1
"Achernar",1617,5,10,"14/11/2016 16:35:30",5,2
"Achernar",1617,5,10,"14/11/2016 16:35:34",5,3
"Achernar",1617,5,10,"14/11/2016 16:35:40",5,4
"Achernar",1617,5,10,"14/11/2016 16:35:42",5,5
"Achernar",1617,5,10,"14/11/2016 16:36:30",2,1
"Achernar",1617,5,10,"14/11/2016 16:36:30",2,2
"Achernar",1617,5,10,"14/11/2016 16:36:33",2,3
"Achernar",1617,5,10,"14/11/2016 16:36:33",2,4
"Achernar",1617,5,10,"14/11/2016 17:04:24",1,1
"Achernar",1617,5,10,"14/11/2016 17:04:24",1,2
"Achernar",1617,5,10,"14/11/2016 17:04:27",1,4
"Achernar",1617,5,10,"14/11/2016 17:04:28",1,5
"Achernar",1617,5,10,"14/11/2016 17:06:47",1,1
"Achernar",1617,5,10,"14/11/2016 17:06:47",1,2
"Achernar",1617,5,10,"14/11/2016 17:06:50",1,4
"Achernar",1617,5,10,"14/11/2016 17:06:51",1,5
"Achernar",1617,5,10,"14/11/2016 17:10:51",1,1
"Achernar",1617,5,10,"14/11/2016 17:10:52",1,2
"Achernar",1617,5,10,"14/11/2016 17:10:54",1,4
"Achernar",1617,5,10,"14/11/2016 17:10:54",1,5
"Achernar",1617,5,10,"14/11/2016 17:11:37",3,1
"Achernar",1617,5,10,"14/11/2016 17:11:37",3,2
"Achernar",1617,5,10,"14/11/2016 17:11:40",3,3
"Achernar",1617,5,10,"14/11/2016 17:11:42",3,4
"Achernar",1617,5,10,"14/11/2016 17:11:44",3,5
"Achernar",1617,5,10,"14/11/2016 17:12:27",5,1
"Achernar",1617,5,10,"14/11/2016 17:12:27",5,2
"Achernar",1617,5,10,"14/11/2016 17:12:30",5,3
"Achernar",1617,5,10,"14/11/2016 17:12:36",5,4
"Achernar",1617,5,10,"14/11/2016 17:12:38",5,5
"Achernar",1617,5,10,"14/11/2016 17:20:49",1,1
"Achernar",1617,5,10,"14/11/2016 17:20:49",1,2
"Achernar",1617,5,10,"14/11/2016 17:20:51",1,4
"Achernar",1617,5,10,"14/11/2016 17:20:52",1,5
"Achernar",1617,5,10,"14/11/2016 17:21:04",3,1
"Achernar",1617,5,10,"14/11/2016 17:21:04",3,2
"Achernar",1617,5,10,"14/11/2016 17:21:07",3,3
"Achernar",1617,5,10,"14/11/2016 17:21:10",3,4
"Achernar",1617,5,10,"14/11/2016 17:21:12",3,5
"Achernar",1617,5,10,"14/11/2016 17:21:20",5,1
"Achernar",1617,5,10,"14/11/2016 17:21:20",5,2
"Achernar",1617,5,10,"14/11/2016 17:21:24",5,3
