Nodes 47
Total Frequency
,PROBLEM2-80,PROBLEM2-60,PROBLEM1-80,PROBLEM8-80,PROBLEM8-100,PROBLEM3-80,PROBLEM3-100,PROBLEM1-100,PROBLEM2-100,PROBLEM9-40,PROBLEM9-60,PROBLEM7-80,PROBLEM7-100,PROBLEM3-60,PROBLEM4-20,PROBLEM4-40,PROBLEM1-20,PROBLEM1-40,PROBLEM4-60,PROBLEM4-80,PROBLEM4-100,PROBLEM7-60,PROBLEM2-20,PROBLEM2-40,PROBLEM7-20,PROBLEM7-40,PROBLEM8-60,PROBLEM1-60,PROBLEM3-20,PROBLEM3-40,PROBLEM5-20,PROBLEM5-40,PROBLEM5-80,PROBLEM5-100,PROBLEM6-20,PROBLEM6-40,PROBLEM6-60,PROBLEM6-80,PROBLEM6-100,PROBLEM8-20,PROBLEM8-40,PROBLEM9-20,PROBLEM9-80,PROBLEM9-100,PROBLEM5-60,START,END
PROBLEM8-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0
PROBLEM8-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM9-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0
PROBLEM9-100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM5-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,8,0,0,0,0,0,0,0,0,0,0,0,0,0
START,16,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,2528,0,0,0,0,0,772,0,392,0,0,0,508,0,300,0,0,0,625,0,0,0,0,273,0,533,12,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
