Grupo;DAG;Q1;Q2;Q3;Q4;ST;DAG_1;DAG_2;DAG_3;DAG_4;DAG_5;DAG_6;DAG_7;DAG_8;DAG_9;ST_1;ST_2;ST_3;ST_4;ST_5;ST_6;ST_7;ST_8;ST_9
DBA1617P2GB;1.12258;2.07844;1.12258;1.85934;1.12258;8.54729e+20;1.27065;1.6262;1.62289;1.71854;2.08744;1.84811;1.79297;1.84628;1.21451;1;42;126;252;252;7.99497e+09;2.66499e+10;5.44102e+10;2.63411e+19
DBA1617P2GD;0.854106;0.896299;0.854106;0.799659;0.854106;1.23261e+19;1.08854;0.579726;0.729387;0.841798;1.15742;1.32759;1.3959;1.40839;1.45164;1;39;224;448;448;768;768;1536;1536
DBA1617P2GE;1.13372;1.30539;1.13372;1.19667;1.13372;7.66802e+20;1.12818;0.557248;0.557248;0.557248;0.774002;0.774002;0.774002;0.875074;1.19902;1;7200;10800;13500;27000;27000;27000;27000;7.27834e+10
DBA1617P2GF;1.06659;0.650542;1.06659;1.18422;1.06659;5.33745e+09;0.784246;0.572447;0.675862;0.68503;0.703923;0.884513;0.884513;0.962819;0.990498;2;12;6160;6160;16200;129600;129600;129600;1.0368e+06
DBA1617P2GG;1.13794;0.650542;1.13794;1.3045;1.13794;2.6907e+19;1.34667;1.22732;1.25536;1.25536;1.25536;1.43172;1.43172;1.62637;1.17721;1;5859;25146;33528;67056;146304;292608;3.93155e+08;2.25804e+18
DBA1617P2GH;1.06343;0.784552;1.06343;0.471558;1.06343;1.21806e+14;0.787348;0.756334;0.740852;0.740852;0.520113;0.668179;0.767387;0.749326;0.90921;3;792;9768;9768;1.11672e+07;4.2882e+07;8.57641e+07;1.40341e+08;6.08145e+08
DBA1617P2GI;1.20302;0.784552;1.20302;1.21553;1.20302;1.24921e+13;1.12866;1.06183;1.04094;1.04094;1.07881;1.15335;1.2928;1.39337;-1;1;84;252;252;252;252;252;252;-1
DBA1617P2GJ;1.16951;0.945884;1.16951;0.844685;1.16951;691200;1.17588;0.835935;1.08538;1.04882;1.11955;1.11955;1.20485;-1;-1;2;608;9600;38400;38400;57600;57600;-1;-1
DBA1718P2GA;1.73249;0.828404;1.47593;1.73249;1.73249;7.46496e+09;0.921262;1.41222;1.46967;1.46967;2.12678;1.70276;2.05658;2.12057;2.24792;1;16;18;18;18;540;25920;155520;311040
DBA1718P2GB;1.28273;0.880482;0.831297;1.28273;1.28273;1.16453e+13;0.381289;0.935409;0.935409;0.935409;0.935409;0.925856;1.02436;1.02357;1.21752;1;1.47972e+06;1.61424e+06;2.15232e+06;2.6904e+06;6.11712e+06;1.12435e+08;1.68653e+08;2.91133e+12
DBA1718P2GC;1.41074;1.32094;1.3502;1.41074;1.41074;3.19394e+13;0.907804;0.861478;1.70485;1.82526;1.94042;1.98736;2.05609;2.07298;1.73245;1;38;8640;12960;12960;875520;1.75104e+06;3.50208e+06;2.48832e+11
DBA1718P2GD;0.923515;0.803403;0.880705;0.923515;0.923515;1.69144e+14;1.08349;1.19796;1.60832;1.27513;1.30303;1.29587;1.25792;0.90043;0.918797;1;44;2106;829440;1.65888e+06;3.73248e+06;6.2208e+06;6.38669e+07;2.21908e+13
DBA1718P2GE;1.35156;0.954888;0.981586;1.35156;1.35156;1.18044e+15;0.592876;1.20197;1.20197;1.20197;1.20197;1.89377;1.34679;1.46961;-1;1;195;312;624;1248;4992;9984;14976;-1
DBA1718P2GG;1.01611;0.79783;0.829513;1.01611;1.01611;1.96137e+18;0.777716;0.917982;0.932472;1.09024;0.997479;1.09665;1.18032;1.1854;1.10738;1;78;156;156;156;312;312;4.851e+07;6.14516e+10
DBA1718P2GH;1.96487;1.96487;1.96487;1.96487;1.96487;2.11507e+08;1.15152;1.66238;1.62072;1.89445;1.89445;2.67376;2.71047;2.13252;-1;1;6;117;448;448;448;1344;2.98598e+07;-1
DBA1819P2GB;1.19635;1.19635;1.01731;1.19972;1.19635;1.52845e+09;0.839917;0.853889;0.836762;0.899772;0.891831;0.825755;0.977979;1.15343;-1;1;3;6;6;40;1728;2376;5.54273e+08;-1
DBA1819P2GC;1.10303;1.10303;0.961711;1.15069;1.10303;3.79142e+08;1.42938;1.49309;1.51333;1.10702;1.05039;1.0649;1.12294;1.12836;-1;12;12;48;588;2.56608e+06;8.2368e+06;7.098e+07;7.098e+07;-1
DBA1819P2GD;1.1316;1.1316;0.898448;0.866744;1.1316;1.29393e+12;0.886033;0.936006;0.835163;0.916069;0.921313;0.979204;1.02976;1.21727;-1;4;10;120;4032;13104;1.10592e+08;7.41312e+08;2.71725e+10;-1
DBA1819P2GE;0.857554;0.857554;0.840552;0.825575;0.857554;6.73713e+09;0.498024;0.426633;0.53099;0.573104;0.597136;0.728338;0.994523;0.857554;-1;2;6;6;6;48;576;48384;6.73713e+09;-1
DBA1819P2GF;1.16991;1.16991;1.0761;1.11332;1.16991;2.27252e+11;1.04933;1.15957;1.15485;1.19205;0.916515;0.961781;1.03221;1.01341;1.08774;16;32;1620;2000;32640;699840;1.6767e+06;7.2576e+06;4.2936e+08
DBA1819P2GG;1.06043;1.06043;1.03832;1.01732;1.06043;3.1867e+13;1.0237;1.05111;1.07598;1.08268;1.06436;1.13133;1.11485;1.1289;1.0478;560;560;215040;2.02752e+06;1.06445e+07;4.89888e+07;7.2576e+07;1.41088e+08;1.59667e+12
