Group	Grade	QuartileGrade	Year	DAG	Size	p	s	ns	np	ot	st	rt	ft	sq	ps	fr	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP01	LAP02	LAP03	LAP04	LAP05	LAP06	LAP07	LAP08	LAP09	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	DAG_1	DAG_2	DAG_3	DAG_4	DAG_5	DAG_6	DAG_7	DAG_8	DAG_9
DBA 1819 P2 GK	9,64	4	Y2018	1,42174	1	9	575	1	1	0,022	0,474	0,452	0,736	0,916	0,07	0,757	0,403	7,141	3	0,888	1,174	50	58	64	66	68	72	88	106	108	50	58	62	64	64	64	74	80	80	2160	8640	14400	14400	14400	18000	202500	5103000	5103000	5103000	2160	8640	11520	11520	11520	11520	57600	57600	57600	107741	-203438	108533	109603	109143	110761	111952	117143	116975
DBA 1819 P2 GL	10	4	Y2018	1,02862	0	6	57	0,099	0,67	0,275	0,456	0,255	1	0,621	0,053	0,667	0,106	7,141	2,449	0,672	1,098	6	16	22	24	26	36	42	42	42	6	18	20	20	20	24	34	34	34	1	2	8	8	8	128	128	128	128	128	1	4	8	8	8	12	72	72	72	617111	928649	84882	882386	873944	813862	813862	813862	813862
DBA 1920 P2 GB	8,22	1	Y2019	1,27051	1	9	250	0,225	1	0,222	0,249	0,028	0,452	0,996	0,096	0,712	0,143	8,944	3	0,954	0,131	4	8	12	18	32	42	44	52	62	4	8	12	16	28	30	30	38	44	1	1	1	2	48	324	324	432	1620	1620	1	1	1	1	16	16	16	32	48	429029	486756	596285	8564	998759	823052	839415	852741	890267
DBA 1920 P2 GC	7,9	1	Y2019	1,32783	1	8	482	0,434	0,89	0,281	0,472	0,191	0,782	0,842	0,047	0,734	0,267	7,211	2,828	0,739	1,21	12	14	20	22	24	26	68	78	92	12	12	16	16	16	18	52	60	72	2	2	6	6	6	6	34992	209952	209952	209952	2	2	4	4	4	4	768	4608	31104	76492	124796	121938	135946	156807	146573	150664	135548	135548
DBA 1920 P2 GD	9,33	3	Y2019	0,862113	1	9	348	0,313	1	0,078	0,098	0,02	0,204	1	0,104	0,601	0,623	6,928	3	0,898	0,248	2	4	8	10	14	36	38	40	44	2	2	6	6	10	26	26	26	30	1	1	1	1	1	48	48	48	48	48	1	1	1	1	1	8	8	8	8	0	0	781442	816497	779611	782805	782805	782805	855107
DBA 1920 P2 GE	8,95	3	Y2019	1,09643	1	9	329	0,296	1	0,063	0,466	0,403	0,696	0,926	0,051	0,787	0,698	8,66	3	0,964	0,257	20	24	30	34	36	52	58	66	78	20	22	28	30	30	36	42	46	48	8	16	48	96	96	3456	3456	18432	276480	276480	8	16	48	96	96	192	192	288	384	532292	618253	641601	678223	675919	720164	823623	858024	860166
DBA 1920 P2 GF	8,94	2	Y2019	0,835051	1	9	1111	1	1	0,066	0,151	0,085	0,216	0,989	0,09	0,748	0,392	7,81	3	0,887	0,124	6	8	10	26	36	38	40	46	88	6	6	6	24	32	32	32	34	66	1	1	1	6	27	27	27	108	207360	207360	1	1	1	12	54	54	54	54	28800	893933	882063	126472	130924	135498	703933	757118	757118	100402
DBA 1920 P2 GH	8,42	2	Y2019	1,46116	1	9	260	0,234	1	0,143	0,481	0,338	0,696	0,709	0,047	0,781	0,409	10,536	3	0,838	0,489	24	30	32	38	44	58	62	64	68	24	28	28	30	30	42	42	42	42	4	8	8	32	96	1728	3456	3456	4608	4608	4	6	6	12	12	30	30	30	30	399213	110103	111864	961014	831512	979966	105104	1066	1066
DBA 1920 P2 GI	9,64	4	Y2019	1,00478	1	9	156	0,14	1	0,094	0,145	0,051	0,494	0,996	0,066	0,712	0,511	8,888	3	0,953	0,152	2	4	6	8	12	18	20	24	28	2	2	2	2	6	12	12	16	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	221912	1163	116233	108357	111046
DBA 1920 P2 GJ	8,64	2	Y2019	3,28437	1	8	636	0,572	0,89	0,589	0,58	0,074	0,745	0,846	0,042	0,923	0,046	11,358	2,828	0,772	2,394	4	8	12	16	18	34	36	40	60	4	8	12	14	14	26	26	32	46	1	1	1	2	2	48	48	48	48	48	1	1	1	2	2	24	24	48	288	155558	189973	166818	2452	267615	234805	233219	233219	233219
