Group	Grade	QuartileGrade	Year	DAG	Size	p	s	ns	np	ot	st	rt	ft	sq	ps	fr	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP01	LAP02	LAP03	LAP04	LAP05	LAP06	LAP07	LAP08	LAP09	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	DAG_1	DAG_2	DAG_3	DAG_4	DAG_5	DAG_6	DAG_7	DAG_8	DAG_9
DBA 1617 P2 GB	9,440	3	Y2016	1,123	1	9	742	0,840	1,00	0,164	0,384	0,220	0,941	0,958	0,090	0,755	0,329	7,810	3,000	0,933	1,257	4	14	20	22	26	64	68	72	128	4	16	24	24	28	56	56	58	112	1	4	4	4	4	7680	9600	14400	6220800000000	6220800000000	1	6	12	12	12	2592	2592	2592	276480000000	127065	1593190	162289	171854	208744	184811	179297	184628	121451
DBA 1617 P2 GD	8,790	2	Y2016	0,854	1	9	362	0,410	1,00	0,178	0,209	0,031	0,251	0,989	0,090	0,406	0,317	8,832	3,000	0,946	0,804	4	12	16	18	20	26	28	30	34	4	14	14	14	14	22	22	22	26	1	1	2	2	2	4	4	4	4	4	1	2	2	2	2	12	12	12	12	108854	579726	729387	841798	115742	132759	752036	140839	145164
DBA 1617 P2 GE	9,350	3	Y2016	1,134	1	9	574	0,650	1,00	0,432	0,503	0,071	0,713	0,989	0,092	0,387	0,386	11,358	3,000	0,960	1,652	4	18	20	22	24	26	30	34	72	4	22	22	22	22	22	26	30	58	1	4	4	4	4	4	4	4	19440	19440	1	16	16	16	16	16	16	16	4608	112818	557248	557248	557248	774002	774002	774002	875074	119902
DBA 1617 P2 GF	8,860	2	Y2016	1,067	1	9	173	0,196	1,00	0,559	0,680	0,120	0,919	0,989	0,062	0,711	0,221	12,961	3,000	0,964	1,326	6	10	24	28	32	36	38	40	46	6	8	22	28	28	28	28	28	34	1	2	12	12	18	36	36	36	72	72	1	1	8	16	16	16	16	16	24	784246	572447	675862	68503	703923	884513	884513	962819	990498
DBA 1617 P2 GG	9,230	3	Y2016	1,138	1	9	867	0,982	1,00	0,311	0,539	0,229	0,938	1,000	0,080	0,754	0,138	8,246	3,000	0,963	1,206	4	24	28	30	32	34	36	50	112	4	22	22	22	22	22	22	30	64	1	4	6	6	6	6	6	192	3870720000000	3870720000000	1	4	4	4	4	4	4	24	4608	134667	122732	125536	125536	125536	143172	143172	162637	117721
DBA 1617 P2 GH	9,750	4	Y2016	1,063	1	9	883	1,000	1,00	0,319	0,491	0,172	0,699	0,930	0,089	0,810	0,096	9,220	3,000	0,887	0,775	6	12	20	22	36	40	44	48	54	6	12	18	18	32	36	40	44	52	1	2	6	6	96	96	96	192	384	384	1	2	4	4	32	32	32	64	192	787348	756334	740852	740852	520113	668179	767387	749326	90921
DBA 1617 P2 GI	10,000	4	Y2016	1,203	1	8	374	0,424	0,89	0,466	0,438	0,053	0,540	0,834	0,072	0,650	0,187	7,681	2,828	0,802	1,434	4	8	10	12	14	18	20	24	62	4	10	10	10	10	14	14	22	38	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	8	288	112866	106183	104094	104094	107881	115335	375471	139337	139337
DBA 1617 P2 GJ	7,480	1	Y2016	1,170	0	7	372	0,421	0,78	0,608	0,657	0,266	0,981	0,601	0,036	0,860	0,102	19,672	2,646	0,602	1,364	6	14	24	28	30	32	38	38	38	6	16	28	32	32	32	38	40	40	1	3	3	6	6	6	6	6	6	6	1	8	12	24	24	24	24	36	36	117588	835935	108538	104882	111955	111955	120485	120485	120485
DBA 1718 P2 GA	7,340	1	Y2017	1,732	1	9	232	0,163	1,00	0,693	0,774	0,081	0,853	0,989	0,027	0,797	0,186	13,153	3,000	0,937	2,036	4	8	10	12	14	20	24	26	30	4	10	10	10	10	10	10	10	14	1	1	1	1	1	4	8	8	8	8	1	2	2	2	2	2	2	2	2	921262	141222	146967	146967	212678	170276	205658	212057	224792
DBA 1718 P2 GB	7,560	1	Y2017	1,283	1	9	1421	1,000	1,00	0,368	0,831	0,463	0,993	0,996	0,032	0,888	0,336	10,630	3,000	0,947	1,370	4	32	34	38	40	46	58	60	82	4	42	42	44	44	46	54	54	60	1	24	24	48	48	128	1536	1536	442368	442368	1	288	288	288	288	288	576	576	576	381289	935409	935409	935409	935409	925856	102436	102357	121752
DBA 1718 P2 GC	6,990	1	Y2017	1,411	1	9	442	0,311	1,00	0,374	0,582	0,208	0,862	0,958	0,074	0,824	0,091	11,747	3,000	0,928	1,693	4	8	22	24	28	34	36	40	66	4	10	28	28	32	38	38	40	56	1	1	8	8	8	16	16	32	7776	7776	1	2	48	48	48	64	64	64	640	907804	861478	170485	182526	194042	198736	205609	207298	173245
DBA 1718 P2 GD	8,470	2	Y2017	0,924	1	9	443	0,312	1,00	0,177	0,435	0,258	0,962	0,947	0,055	0,808	0,487	10,198	3,000	0,953	0,874	4	14	22	26	32	36	50	56	74	4	12	20	22	30	32	44	44	50	1	2	6	12	12	18	216	576	48384	48384	1	1	4	4	6	6	108	108	216	108349	119796	160832	127513	130303	129587	125792	90043	918797
DBA 1718 P2 GE	7,610	1	Y2017	1,352	1	8	516	0,363	0,89	0,504	0,533	0,093	0,651	0,834	0,060	0,777	0,075	9,381	2,828	0,770	1,619	4	26	28	30	32	36	40	44	78	4	28	28	28	28	30	32	36	48	1	3	3	3	3	6	12	18	18	18	1	8	8	8	8	8	8	16	128	592876	120197	120197	120197	120197	189377	134679	146961	146961
DBA 1718 P2 GG	9,220	3	Y2017	1,016	1	9	334	0,235	1,00	0,268	0,303	0,035	0,509	0,993	0,095	0,377	0,351	8,544	3,000	0,950	0,706	4	8	10	14	20	22	24	44	60	4	10	10	14	22	22	22	38	44	1	1	1	1	1	1	1	96	3072	3072	1	2	2	2	4	4	4	30	30	777716	917982	932472	109024	997479	109665	118032	-16799	110738
DBA 1718 P2 GH	6,460	1	Y2017	1,965	1	8	273	0,192	0,89	0,646	0,655	0,094	0,901	0,834	0,020	0,853	0,121	10,100	2,828	0,798	1,888	4	8	14	20	22	28	34	48	56	4	10	10	14	14	20	28	40	46	1	1	4	6	6	6	6	384	384	384	1	2	2	2	2	2	4	48	288	115152	166238	162072	189445	189445	267376	271047	213252	213252
DBA 1819 P2 GB	8,230	2	Y2018	1,196	1	8	148	0,257	0,89	0,183	0,206	0,073	0,939	0,954	0,095	0,703	0,465	8,307	2,828	0,884	1,281	6	8	10	12	14	18	20	54	66	6	6	6	6	6	6	6	36	44	1	1	1	1	1	2	2	576	576	576	1	1	1	1	1	1	1	48	160	839917	853889	836762	899772	891831	825755	977979	115343	115343
DBA 1819 P2 GC	8,910	2	Y2018	1,103	1	8	178	0,310	0,89	0,243	0,563	0,320	0,933	0,850	0,061	0,713	0,370	6,856	2,828	0,847	1,480	18	20	22	24	46	50	58	60	64	18	18	18	18	32	36	42	42	44	2	2	2	2	480	720	2880	2880	2880	2880	2	2	2	2	32	48	72	72	108	142938	149309	151333	110702	105039	-456916	112294	112836	112836
DBA 1819 P2 GD	9,730	4	Y2018	1,132	1	8	190	0,330	0,89	0,183	0,395	0,214	0,889	0,867	0,084	0,616	0,632	6,481	2,828	0,823	1,039	16	18	22	28	54	58	64	78	96	16	16	20	24	44	44	50	54	68	3	3	6	12	1728	2160	8640	72000	72000	72000	3	3	6	12	432	432	864	2304	8640	886033	936006	835163	916069	921313	979204	102976	121727	121727
DBA 1819 P2 GE	8,460	2	Y2018	0,858	1	8	158	0,275	0,89	0,169	0,202	0,111	1,000	0,858	0,094	0,759	0,437	7,211	2,828	0,846	1,023	6	8	10	12	16	26	42	94	96	6	6	6	6	6	16	26	66	66	1	1	1	1	2	4	144	1296000	1296000	1296000	1	1	1	1	1	2	16	21600	21600	498024	426633	53099	573104	597136	728338	994523	857554	857554
DBA 1819 P2 GF	8,140	1	Y2018	1,170	1	9	190	0,330	1,00	0,175	0,504	0,329	0,774	0,947	0,074	0,647	0,292	7,810	3,000	0,910	0,984	14	16	28	30	32	42	48	54	58	14	16	24	24	24	34	36	36	36	1	1	12	12	12	30	72	192	384	384	1	1	8	8	8	20	20	20	20	104933	115957	115485	119205	916515	961781	103221	101341	108774
DBA 1819 P2 GG	9,260	3	Y2018	1,060	0	9	266	0,463	1,00	0,082	0,518	0,436	0,891	0,958	0,067	0,703	0,132	8,124	3,000	0,911	1,223	16	26	30	46	50	54	58	80	96	16	22	26	40	40	40	42	56	68	2	24	24	180	360	720	1440	81000	1244160	1244160	2	6	6	48	48	48	48	960	30720	-607396	105111	107598	108268	106436	113133	111485	-223160	-519372
DBA 1819 P2 GH	7,960	1	Y2018	1,119	1	9	434	0,755	1,00	0,104	0,236	0,132	0,567	0,912	0,094	0,827	0,608	7,937	3,000	0,940	0,643	18	20	22	24	34	50	52	76	80	18	18	18	20	22	36	36	56	56	4	4	4	4	48	864	864	82944	96768	96768	4	4	4	4	4	144	144	2304	2304	643877	750549	738054	875298	796537	1196	119008	961738	973012
DBA 1819 P2 GI	7,390	1	Y2018	0,996	1	7	242	0,421	0,78	0,123	0,584	0,482	0,950	0,821	0,036	0,851	0,285	6,928	2,646	0,761	1,246	40	44	48	66	72	84	86	92	92	40	42	42	60	60	68	68	70	70	432	576	1152	23040	55296	259200	259200	259200	259200	259200	432	432	432	6480	6480	34560	34560	51840	51840	852291	906119	908608	978269	971964	99485	990754	990754	990754
DBA 1819 P2 GJ	8,140	1	Y2018	0,976	1	9	373	0,649	1,00	0,031	0,225	0,194	0,815	0,814	0,103	0,566	0,371	6,403	3,000	0,897	1,049	12	14	16	18	32	36	50	72	90	12	12	12	12	24	26	30	42	58	1	1	1	1	4	8	144	18432	725760	725760	1	1	1	1	2	2	2	96	5184	897594	902478	835955	812951	112633	133223	371819	127489	100079
DBA 1819 P2 GK	9,640	4	Y2018	1,137	1	9	575	1,000	1,00	0,022	0,474	0,452	0,736	0,916	0,070	0,757	0,403	7,141	3,000	0,888	1,174	50	58	64	66	68	72	88	106	108	50	58	62	64	64	64	74	80	80	2160	8640	14400	14400	14400	18000	202500	5103000	5103000	5103000	2160	8640	11520	11520	11520	11520	57600	57600	57600	107741	-203438	108533	109603	109143	110761	111952	117143	116975
DBA 1819 P2 GL	10,000	4	Y2018	0,814	0	6	57	0,099	0,67	0,275	0,456	0,255	1,000	0,621	0,053	0,667	0,106	7,141	2,449	0,672	1,098	6	16	22	24	26	36	42	42	42	6	18	20	20	20	24	34	34	34	1	2	8	8	8	128	128	128	128	128	1	4	8	8	8	12	72	72	72	617111	928649	84882	882386	873944	813862	813862	813862	813862
DBA 1920 P2 GB	8,220	1	Y2019	1,016	1	9	250	0,225	1,00	0,222	0,249	0,028	0,452	0,996	0,096	0,712	0,143	8,944	3,000	0,954	0,131	4	8	12	18	32	42	44	52	62	4	8	12	16	28	30	30	38	44	1	1	1	2	48	324	324	432	1620	1620	1	1	1	1	16	16	16	32	48	429029	486756	596285	8564	998759	823052	839415	852741	890267
DBA 1920 P2 GC	7,900	1	Y2019	1,062	1	8	482	0,434	0,89	0,281	0,472	0,191	0,782	0,842	0,047	0,734	0,267	7,211	2,828	0,739	1,210	12	14	20	22	24	26	68	78	92	12	12	16	16	16	18	52	60	72	2	2	6	6	6	6	34992	209952	209952	209952	2	2	4	4	4	4	768	4608	31104	76492	124796	121938	135946	156807	146573	150664	135548	135548
DBA 1920 P2 GD	9,330	3	Y2019	0,690	1	9	348	0,313	1,00	0,078	0,098	0,020	0,204	1,000	0,104	0,601	0,623	6,928	3,000	0,898	0,248	2	4	8	10	14	36	38	40	44	2	2	6	6	10	26	26	26	30	1	1	1	1	1	48	48	48	48	48	1	1	1	1	1	8	8	8	8	0	0	781442	816497	779611	782805	782805	782805	855107
DBA 1920 P2 GE	8,950	3	Y2019	0,877	1	9	329	0,296	1,00	0,063	0,466	0,403	0,696	0,926	0,051	0,787	0,698	8,660	3,000	0,964	0,257	20	24	30	34	36	52	58	66	78	20	22	28	30	30	36	42	46	48	8	16	48	96	96	3456	3456	18432	276480	276480	8	16	48	96	96	192	192	288	384	532292	618253	641601	678223	675919	720164	823623	858024	860166
DBA 1920 P2 GF	8,940	2	Y2019	0,668	1	9	1111	1,000	1,00	0,066	0,151	0,085	0,216	0,989	0,090	0,748	0,392	7,810	3,000	0,887	0,124	6	8	10	26	36	38	40	46	88	6	6	6	24	32	32	32	34	66	1	1	1	6	27	27	27	108	207360	207360	1	1	1	12	54	54	54	54	28800	893933	882063	126472	130924	135498	703933	757118	757118	100402
DBA 1920 P2 GH	8,420	2	Y2019	1,169	1	9	260	0,234	1,00	0,143	0,481	0,338	0,696	0,709	0,047	0,781	0,409	10,536	3,000	0,838	0,489	24	30	32	38	44	58	62	64	68	24	28	28	30	30	42	42	42	42	4	8	8	32	96	1728	3456	3456	4608	4608	4	6	6	12	12	30	30	30	30	399213	110103	111864	961014	831512	979966	105104	1066	1066
DBA 1920 P2 GI	9,640	4	Y2019	0,804	1	9	156	0,140	1,00	0,094	0,145	0,051	0,494	0,996	0,066	0,712	0,511	8,888	3,000	0,953	0,152	2	4	6	8	12	18	20	24	28	2	2	2	2	6	12	12	16	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	221912	1163	116233	108357	111046
DBA 1920 P2 GJ	8,640	2	Y2019	2,628	1	8	636	0,572	0,89	0,589	0,580	0,074	0,745	0,846	0,042	0,923	0,046	11,358	2,828	0,772	2,394	4	8	12	16	18	34	36	40	60	4	8	12	14	14	26	26	32	46	1	1	1	2	2	48	48	48	48	48	1	1	1	2	2	24	24	48	288	155558	189973	166818	2452	267615	234805	233219	233219	233219
DBA 1920 P2 GK	8,100	1	Y2019	0,859	1	9	821	0,739	1,00	0,179	0,389	0,210	0,641	0,996	0,072	0,715	0,225	9,487	3,000	0,924	0,547	6	16	18	24	52	90	92	94	100	6	18	18	22	54	88	88	88	92	1	2	2	8	1152	1036800	1036800	1036800	3110400	3110400	1	3	3	6	1152	645120	645120	645120	645120	848798	118408	131572	991666	991215	85051	83547	833289	817592
DBA 1920 P2 GL	8,400	2	Y2019	0,782	1	8	444	0,400	0,89	0,079	0,142	0,080	0,714	0,846	0,095	0,836	0,325	8,718	2,828	0,795	0,207	8	10	16	24	26	28	30	58	82	8	8	12	16	16	16	16	38	50	1	1	2	16	16	16	16	2592	2592	2592	1	1	1	1	1	1	1	16	256	75133	915444	930493	567685	625006	841477	89877	893238	893238
DBA 1920 P2 GM	9,200	3	Y2019	0,563	1	9	170	0,153	1,00	0,354	0,392	0,039	0,741	0,996	0,073	0,582	0,452	10,392	3,000	0,895	0,590	4	6	8	12	14	28	32	34	36	4	4	4	8	8	20	20	20	20	1	1	1	1	1	12	24	24	24	24	1	1	1	1	1	6	6	6	6	783087	101523	108114	118695	107264	571047	587849	587849	656876
DBA 1920 P2 GN	10,000	4	Y2019	0,743	0	9	149	0,134	1,00	0,497	0,682	0,185	1,000	0,989	0,043	0,812	0,024	8,485	3,000	0,970	0,190	2	4	6	14	16	18	32	40	52	2	2	2	10	10	10	20	24	34	1	1	1	1	1	1	16	96	432	432	1	1	1	1	1	1	4	8	32	0	894824	736201	694502	745883	741948	741948	728429	743304
DBA 2021 P2 GA	8,600	2	Y2020	1,017	1	9	364	0,597	1,00	0,695	0,699	0,004	0,981	1,000	0,105	0,341	0,177	14,967	3,000	0,922	1,411	4	8	10	14	16	22	24	28	30	4	8	8	12	12	20	20	24	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	393722	66731	751837	751837	103276	829551	829551	101485	101485
DBA 2021 P2 GB	7,700	1	Y2020	0,538	1	7	395	0,648	0,78	0,424	0,424	0,000	0,830	0,701	0,109	0,367	0,115	8,944	2,646	0,689	0,654	2	6	10	14	16	18	20	24	24	2	6	10	14	14	14	14	18	18	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	0	566771	695065	695065	729332	565339	565339	565339	565339
DBA 2021 P2 GC	9,600	4	Y2020	0,933	1	9	277	0,454	1,00	0,593	0,599	0,006	1,000	1,000	0,102	0,433	0,501	11,000	3,000	0,969	1,517	4	6	8	16	18	24	30	44	48	4	6	6	10	10	14	14	22	26	1	1	1	4	4	8	24	216	216	216	1	1	1	2	2	2	2	2	2	624749	795452	994413	100814	100814	8766	903678	937224	933156
DBA 2021 P2 GD	8,600	2	Y2020	0,905	1	8	335	0,549	0,89	0,310	0,326	0,016	0,958	0,929	0,098	0,233	0,199	17,059	2,828	0,927	0,818	2	8	14	16	18	22	26	32	34	2	12	16	16	16	20	24	26	30	1	1	2	2	2	2	2	8	8	8	1	3	3	3	3	3	3	6	6	0	601717	696588	718762	763139	715613	750233	822591	822591
DBA 2021 P2 GE	9,200	3	Y2020	0,564	1	9	53	0,087	1,00	0,509	0,514	0,004	0,943	0,972	0,088	0,113	0,801	14,731	3,000	0,937	1,369	4	6	8	12	14	16	18	22	24	4	4	4	4	4	4	4	8	8	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	298142	420907	875367	687619	687619	509961	64291	535132	560415
DBA 2021 P2 GF	9,200	3	Y2020	0,594	0	7	166	0,272	0,78	0,389	0,462	0,073	1,000	0,671	0,063	0,578	0,170	10,770	2,646	0,671	0,981	4	8	16	18	24	32	36	38	38	4	8	12	12	16	24	28	28	28	1	1	4	4	12	18	18	18	18	18	1	1	2	2	3	3	3	3	3	371223	739238	953061	953061	544432	49949	537795	537795	537795
DBA 2021 P2 GG	8,200	1	Y2020	0,732	1	8	241	0,395	0,89	0,343	0,354	0,012	0,531	0,966	0,096	0,278	0,682	11,136	2,828	0,931	1,196	4	6	8	10	12	24	26	30	40	4	4	4	4	4	16	16	20	24	1	1	1	1	1	4	4	4	4	4	1	1	1	1	1	1	1	1	1	519377	602267	749643	928698	803743	826762	836625	886459	886459
DBA 2021 P2 GH	7,800	1	Y2020	0,872	1	7	281	0,461	0,78	0,369	0,350	0,031	0,559	0,911	0,087	0,715	0,277	15,969	2,646	0,887	0,995	4	10	14	20	24	26	28	34	34	4	10	14	20	24	24	24	30	30	1	2	2	4	4	4	4	4	4	4	1	2	2	4	4	4	4	8	8	4912	825891	825891	955203	997712	105017	105017	105017	105017
DBA 2021 P2 GI	9,600	4	Y2020	0,996	1	9	341	0,559	1,00	0,439	0,441	0,003	0,610	0,947	0,106	0,370	0,566	12,410	3,000	0,950	1,369	4	6	8	10	14	22	28	34	36	4	4	4	4	10	14	18	22	22	1	1	1	1	1	4	8	16	16	16	1	1	1	1	1	2	2	2	2	506566	650741	650741	650741	650741	6498	108545	990067	113923
DBA 2021 P2 GJ	8,800	2	Y2020	0,921	1	9	458	0,751	1,00	0,650	0,651	0,001	0,965	0,996	0,108	0,293	0,504	15,264	3,000	0,986	1,992	4	6	8	10	12	16	22	44	46	4	4	4	4	4	4	8	26	26	1	1	1	1	1	2	3	108	108	108	1	1	1	1	1	1	1	4	4	309839	500129	712493	706462	728384	790769	764009	898481	898481
DBA 2021 P2 GK	9,600	4	Y2020	1,051	1	8	282	0,462	0,89	0,457	0,457	0,000	0,947	0,796	0,108	0,465	0,383	11,180	2,828	0,768	0,235	2	8	10	14	18	30	34	36	42	2	10	10	14	18	28	30	30	34	1	1	1	1	1	12	24	24	24	24	1	2	2	2	4	16	16	16	16	298142	273829	271571	103168	114084	109751	102597	102597	102597
DBA 2021 P2 GL	9,600	4	Y2020	1,141	1	8	610	1,000	0,89	0,645	0,573	0,013	0,833	0,929	0,107	0,569	0,262	10,954	2,828	0,860	1,877	4	6	8	12	14	34	42	46	62	4	4	4	8	8	24	30	32	36	1	1	1	1	1	16	96	144	144	144	1	1	1	1	1	4	8	8	16	652575	533687	533687	533687	533687	100433	994301	111274	111274
DBA 2021 P2 GM	9,600	4	Y2020	0,757	1	8	97	0,159	0,89	0,457	0,460	0,003	0,825	0,929	0,099	0,351	0,355	14,177	2,828	0,911	1,599	4	6	8	10	12	20	24	26	28	4	4	4	4	4	8	12	12	16	1	1	1	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	309839	426118	698845	885374	927439	867114	8333	871179	871179
DBA 2122 P2 GA	8,990	3	Y2021	0,919	1	9	384	0,692	1,00	0,347	0,453	0,106	0,883	0,965	0,101	0,646	0,378	10,392	3,000	0,872	0,647	4	8	14	18	24	32	40	58	64	4	8	16	20	24	36	44	58	60	1	1	2	2	4	8	16	1152	2880	2880	1	1	4	4	8	32	64	1728	1728	511101	863353	850314	108555	115624	130437	109227	966502	921707
DBA 2122 P2 GB	10,000	4	Y2021	0,756	1	8	499	0,899	0,89	0,521	0,466	0,053	0,910	0,842	0,094	0,834	0,272	9,747	2,828	0,784	0,683	4	14	16	18	22	32	54	60	80	4	14	14	16	20	28	40	44	60	1	2	2	2	2	12	864	1152	1152	1152	1	2	2	2	2	8	128	128	2048	34641	755484	696937	735803	735803	850316	759476	752621	752621
DBA 2122 P2 GC	9,730	4	Y2021	0,799	1	8	555	1,000	0,89	0,363	0,317	0,051	0,850	0,842	0,093	0,712	0,407	9,381	2,828	0,783	0,766	4	8	12	18	24	32	34	84	114	4	8	12	20	26	38	40	68	92	1	1	1	1	4	8	8	276480	276480	276480	1	1	1	2	8	64	64	34992	6718464	34641	69489	69489	777322	641586	621037	623305	796144	796144
DBA 2122 P2 GD	9,540	3	Y2021	0,958	1	9	381	0,686	1,00	0,368	0,407	0,038	0,942	1,000	0,070	0,753	0,342	10,630	3,000	0,953	0,717	4	8	10	12	14	16	22	40	56	4	8	8	8	8	8	16	28	34	1	1	1	1	1	1	1	64	1920	1920	1	1	1	1	1	1	1	6	12	326599	732889	78636	78636	78636	78636	78636	81437	100543
DBA 2122 P2 GE	9,670	4	Y2021	1,040	1	9	191	0,344	1,00	0,653	0,684	0,030	0,953	0,965	0,090	0,675	0,330	11,358	3,000	0,944	1,114	4	10	14	18	20	24	28	38	42	4	10	12	14	14	20	24	34	34	1	1	2	3	3	3	3	12	24	24	1	1	1	2	2	2	2	8	8	447214	575679	746201	700015	700015	69753	848843	113005	115624
DBA 2122 P2 GF	8,980	3	Y2021	0,877	1	9	455	0,820	1,00	0,341	0,369	0,029	0,631	0,996	0,094	0,804	0,513	11,136	3,000	0,931	0,615	4	12	20	28	32	40	46	56	74	4	12	20	26	30	40	44	54	62	1	2	8	24	24	72	144	864	34560	34560	1	4	8	16	32	96	96	576	3840	489898	571788	571499	77021	77021	940868	974312	121146	100996
DBA 2122 P2 GG	9,750	4	Y2021	0,844	1	8	368	0,663	0,89	0,380	0,330	0,040	0,576	0,838	0,092	0,728	0,278	8,000	2,828	0,770	0,549	4	10	12	26	30	34	42	58	98	4	10	10	26	30	34	40	60	82	1	1	1	4	8	16	96	960	960	960	1	1	1	4	8	12	48	1920	311040	489898	616183	61416	607622	770177	853917	980274	103873	103873
